clause_id	contract_basis	written_reference	finding	rust_reference	rust_relation	cetta_reference	cetta_relation	leatta_reference	leatta_relation	gslt_witness	gslt_relation	disposition	limit
unicode-whitespace	written-delegation	docs/metta.md:WHITESPACE-note	Whitespace membership is exactly Rust char.is_whitespace over Unicode scalar input.	SExprParser::parse_to_syntax_tree	conforms	skip_whitespace_and_comments	diverges	Parser.tokenizeAux	diverges	prefix:member-he-whitespace-scalar-	conforms	settled	CeTTa's byte-oriented C isspace and Lean's narrower Char.isWhitespace paths must converge on the generated scalar-aware relation.
word-interior-quote	written-direct	docs/metta.md:WORD	A quote is permitted after the first scalar of a word.	SExprParser::parse_word	conforms	is_token_char	diverges	Parser.tokenizeAux	diverges	rule:member-he-word-tail-scalar	conforms	settled	CeTTa and LeaTTa currently dispatch every quote as a string delimiter rather than only dispatching string at token start.
variable-interior-quote	written-direct	docs/metta.md:VARIABLE	A quote is permitted in a variable name after dollar.	SExprParser::parse_variable	conforms	is_token_char	diverges	Parser.tokenizeAux	diverges	rule:member-he-variable-tail-scalar	conforms	settled	The generated reader must preserve the written variable production.
variable-hash-reserved	written-direct	docs/metta.md:hash-note	Hash is reserved and excluded from variable names.	SExprParser::parse_variable	conforms	is_token_char	diverges	Parser.atomToPattern	diverges	rule:member-he-variable-tail-scalar	conforms	settled	LeaTTa's declarative reserveHashInVariable field is currently not consumed by its parser; exact diagnostic wording is separate from rejection parity.
bare-dollar	written-ambiguous	docs/metta.md:WORD+VARIABLE	VARIABLE requires a following scalar while WORD admits dollar through CHAR; the written alternatives do not state ordered-choice resolution.	SExprParser::parse_variable	candidate-clarification	parse_sexpr_scoped	candidate-clarification	Parser.atomToPattern	candidate-clarification	rule:def-he-variable	candidate-clarification	ratification-required	Rust and the current GSLT construct an empty-name variable; CeTTa constructs a dollar symbol; LeaTTa constructs a free variable whose spelling is dollar.
variable-semicolon	written-direct	docs/metta.md:VARIABLE	Semicolon is excluded from VARIABLE because it is excluded from CHAR and is not added explicitly.	SExprParser::parse_variable	diverges	is_token_char	conforms	Parser.tokenizeAux	conforms	rule:member-he-variable-tail-scalar	diverges	settled	The current GSLT follows Rust here and must be corrected before production routing.
comment-eol	written-direct	docs/metta.md:COMMENT+EOL	A comment stops before either carriage return or line feed.	SExprParser::parse_comment	diverges	skip_whitespace_and_comments	diverges	Parser.stepScan	diverges	rule:member-he-non-newline-scalar	diverges	settled	All executable readers currently stop comments only at line feed; the ratified LanguageDef must follow the written EOL production unless the specification is amended.
bang-program-form	written-direct	docs/metta.md:METTA	Top-level bang is program syntax selecting evaluation of the following atom, except for the documented bang-leading-symbol ambiguity.	HE program loader	conforms	main top-level loop	conforms	Parser.parseProgramWith	conforms	boundary:program-loader	separate-boundary	separate-layer	The generated reader must compose the atom grammar with a versioned program-form layer before it replaces CeTTa's full file reader.
bang-leading-symbol	written-weak-requirement	docs/metta.md:bang-note	Bang-leading symbol behavior is documented as an implementation artifact and not a strong requirement.	SExprParser+HE program loader	candidate-clarification	parser+main top-level loop	candidate-clarification	Parser.shouldTreatBangPrefixedWordAsSymbol	candidate-clarification	boundary:program-loader	separate-boundary	ratification-required	LeaTTa already exposes compatibility and canonical policies; the production LanguageDef must select the intended profile explicitly.
string-escape-boundary	written-incomplete	docs/metta.md:STRING	The written STRING production does not enumerate escapes, while API prose refers to non-escaped quotes.	SExprParser::parse_string	candidate-clarification	parse_sexpr_scoped	candidate-clarification	Parser.tokenizeAux	candidate-clarification	rule:def-he-string	candidate-clarification	ratification-required	Ratify whether backslash introduces an escape and which source spellings are legal.
string-simple-escape	written-silent	docs/metta.md:STRING	The simple escape repertoire and decoded values are not specified.	SExprParser::parse_string	candidate-clarification	decode_string_escape	candidate-clarification	Parser.sexprToPattern	candidate-clarification	rule:def-he-simple-escape	candidate-clarification	ratification-required	Rust decodes a closed repertoire; CeTTa accepts every following byte and removes the backslash; LeaTTa preserves the quoted source token.
string-byte-escape	written-silent	docs/metta.md:STRING	The backslash-x byte escape is not specified.	SExprParser::parse_2_digit_radix_char	candidate-clarification	decode_string_escape	diverges	Parser.sexprToPattern	candidate-clarification	rule:def-he-byte-escape	candidate-clarification	ratification-required	Current Rust and GSLT use exactly two hex digits and restrict the result to ASCII; CeTTa leaves x and both digits literal; LeaTTa preserves the source token.
string-unicode-escape	written-silent	docs/metta.md:STRING	The backslash-u Unicode escape body is not specified.	SExprParser::parse_unicode_sequence	candidate-clarification	decode_string_escape	diverges	Parser.sexprToPattern	candidate-clarification	rule:def-he-unicode-escape	candidate-clarification	ratification-required	Choose brace discipline and digit bounds explicitly; do not inherit Rust's empty-body, extra-open-brace, or eight-digit acceptance accidentally.
string-invalid-escape	written-silent	docs/metta.md:STRING	The handling of an unknown backslash escape is not specified.	SExprParser::parse_string	candidate-clarification	decode_string_escape	candidate-clarification	Parser.tokenizeAux	candidate-clarification	boundary:invalid-source	candidate-clarification	ratification-required	Rust constructs an incomplete error node; CeTTa drops the backslash; LeaTTa accepts and preserves the source spelling.
runtime-tokenizer	written-direct	docs/metta.md:GROUNDED+Tokenizer	WORD and STRING may be converted to grounded atoms by an ordered runtime tokenizer environment.	SyntaxNode::as_atom	conforms	parse_sexpr_scoped	diverges	SyntaxSpec.he+Parser.sexprToPattern	separate-boundary	boundary:runtime-tokenizer	separate-boundary	separate-layer	The empty-tokenizer canonical syntax lane and LeaTTa Pattern parser are not by themselves the production HE Atom reader; tokenizer actions need a separately versioned compilation input.
error-recovery	written-silent	docs/metta.md:Syntax	Recovery trees, ranges, and diagnostic text are not specified by the grammar.	SyntaxNode recovery	candidate-clarification	parser_text_well_formed	candidate-clarification	Parser.ParseError	candidate-clarification	boundary:invalid-source	separate-boundary	separate-layer	Valid-source recognition and comparable rejection positions precede any claim of recovery-tree parity.
