obligation_id	implementation_function	implementation_behavior	gslt_witness	disposition	limit
decoded-unicode-scalar-input	SExprParser::next	The reader consumes decoded Unicode scalars and reports iterator decoding failures.	boundary:utf8-decoder	separate-boundary	Malformed byte handling belongs to the byte-to-scalar decoder, before the GSLT carrier.
top-comment-dispatch	SExprParser::parse_to_syntax_tree	A semicolon at atom position begins a comment.	rule:def-he-comment	modeled-valid	Exact comment diagnostics and source ranges are outside the valid-source relation.
top-whitespace-dispatch	SExprParser::parse_to_syntax_tree	Every scalar satisfying Rust char.is_whitespace is layout.	prefix:member-he-whitespace-scalar-,rule:def-he-skip	modeled-valid	The exhaustive scalar-class gate is tied to the Rust toolchain used by the pinned authority checkout.
top-variable-dispatch	SExprParser::parse_to_syntax_tree	A dollar sign at atom position selects variable parsing before word parsing.	rule:def-he-variable	modeled-valid	Priority is represented structurally by excluding dollar from word starts.
top-expression-dispatch	SExprParser::parse_to_syntax_tree	An opening parenthesis at atom position selects recursive expression parsing.	rule:def-he-expression	modeled-valid	The production reader still needs the compiled semantic action path.
unexpected-right-paren	SExprParser::parse_to_syntax_tree	A closing parenthesis at top level is an error and consumes the remaining source as leftovers.	boundary:invalid-source	rejection-modeled	The GSLT valid-source relation rejects it; exact recovery tree and diagnostic text are separate.
token-string-dispatch	SExprParser::parse_token	A double quote at token start selects string parsing.	rule:def-he-string	modeled-valid	String value construction is the current finite-state transducer obligation.
token-word-dispatch	SExprParser::parse_token	Every other token start selects word parsing.	rule:def-he-word	modeled-valid	The word-start class excludes branches selected earlier by the authority.
comment-stops-only-lf	SExprParser::parse_comment	Rust HE consumes a comment through every scalar except line feed; the written HE EOL production also terminates at carriage return.	rule:member-he-non-newline-scalar,rule:def-he-comment-boundary,rule:def-he-comment	implementation-divergence	The ratified GSLT follows the written CR-or-LF production; Rust HE, CeTTa he-compat, and LeaTTa require conformance fixes.
expression-layout-recursion	SExprParser::parse_expr	Inside parentheses comments and whitespace are trivia and remaining atoms recurse until close.	rule:def-he-skip,rule:def-he-expression,rule:def-he-atom	modeled-valid	Syntax-node trivia and source ranges are intentionally erased by the Atom relation.
expression-close-required	SExprParser::parse_expr	End of input before the matching close parenthesis is an error.	boundary:invalid-source	rejection-modeled	The valid-source relation rejects it; exact ErrorGroup recovery is separate.
string-close	SExprParser::parse_string	An unescaped double quote closes the string and is retained in the authority token text.	rule:def-he-string	modeled-valid	The canonical GSLT node records the decoded token value rather than the authority SyntaxNode range.
string-simple-escapes	SExprParser::parse_string	Backslash followed by quote, apostrophe, backslash, n, r, or t decodes one scalar.	prefix:member-he-simple-escape-scalar-,rule:def-he-simple-escape	modeled-valid	The semantic transducer must preserve the decoded scalar, not the source spelling.
string-byte-escape	SExprParser::parse_string	Backslash-x consumes exactly two hexadecimal digits and accepts only values at most 0x7f.	prefix:member-he-hex-low-seven-scalar-,prefix:member-he-hex-scalar-,rule:def-he-byte-escape	modeled-valid	Failure after consuming an invalid pair is represented as invalid source, not a literal fallback.
string-unicode-escape	SExprParser::parse_unicode_sequence	Rust HE accepts empty bodies, repeated opening braces, and up to eight digits; the ratified extension requires exactly one brace and one through six digits.	rule:def-he-unicode-valid-body,rule:def-he-unicode-escape	implementation-divergence	The GSLT accepts exactly Unicode scalar values through 0x10ffff and rejects surrogates and noncanonical source envelopes.
string-invalid-escape	SExprParser::parse_string	Every unrecognized or malformed escape produces an invalid string token.	boundary:invalid-source	rejection-modeled	Exact error spans and messages are outside the valid-source relation.
string-unclosed	SExprParser::parse_string	End of input before a closing quote is an error.	boundary:invalid-source	rejection-modeled	The valid-source relation rejects it; exact incomplete-node construction is separate.
word-boundaries	SExprParser::parse_word	Whitespace, open parenthesis, close parenthesis, semicolon, or end of input terminates a word.	rule:member-he-word-start-scalar,rule:member-he-word-tail-scalar,rule:def-he-word-boundary,rule:def-he-word	modeled-valid	Maximal extent is a consumer policy certified by the guarded cursor plan.
word-interior-quote-dollar-hash	SExprParser::parse_word	Quote, dollar, and hash are ordinary word-tail scalars after a non-special word start.	rule:member-he-word-tail-scalar	modeled-valid	Quote is special only at token start; dollar is special only at atom start.
variable-boundaries	SExprParser::parse_variable	Rust HE terminates a variable at whitespace or parentheses but not semicolon; the written production excludes semicolon from the name.	rule:member-he-variable-tail-scalar,rule:def-he-variable-boundary,rule:def-he-variable	implementation-divergence	The ratified GSLT terminates before semicolon while preserving quote as an ordinary variable-tail scalar.
variable-empty-name	SExprParser::parse_variable	Rust HE constructs an empty-name variable for bare dollar; the written VARIABLE production requires at least one following scalar.	rule:def-he-variable	implementation-divergence	The ratified dispatch rejects bare dollar rather than inventing an empty variable or silently changing it into a word.
variable-semicolon-quote	SExprParser::parse_variable	Rust HE accepts both semicolon and quote inside a variable token; the written production permits quote but excludes semicolon.	rule:member-he-variable-tail-scalar	implementation-divergence	The ratified GSLT preserves interior quote and terminates the variable before a semicolon comment.
variable-hash-reject	SExprParser::parse_variable	Hash inside a variable is reserved and turns the remainder into an error.	rule:member-he-variable-tail-scalar,boundary:invalid-source	rejection-modeled	The class excludes hash; exact leftover recovery is separate.
atom-variable	SyntaxNode::as_atom	A complete variable token constructs a variable Atom from the spelling after dollar.	rule:def-he-variable	modeled-valid	Variable allocation identity is normalized by spelling in the canonical comparison.
atom-string-word-empty-tokenizer	SyntaxNode::as_atom	With the empty tokenizer, complete string and word tokens construct symbol Atoms from decoded token text.	rule:def-he-string,rule:def-he-word,boundary:empty-tokenizer	modeled-valid	Runtime tokenizer registrations are a separate versioned semantic environment.
atom-expression-trivia	SyntaxNode::as_atom	An expression recursively constructs ordered child Atoms while comments, whitespace, and parentheses contribute no Atom.	rule:def-he-expression,rule:def-he-skip	modeled-valid	Syntax-node ranges and trivia remain available only in the separate syntax-tree surface.
